Code,Level,Type,Program Name,School,Degrees,Note
ITST,Undergraduate,Major,Italian Studies (F25),CAS,B.A.,Active Fall 2025.
J,Undergraduate,Major,Journalism,SOJC,"B.A., B.S.",
J,Graduate,Major,Journalism,SOJC,"M.A., M.S.",
JAD,Undergraduate,Major,Journalism: Advertising,SOJC,"B.A., B.S.",
JDST,Undergraduate,Major,Judaic Studies,CAS,B.A.,
JMAG,Graduate,Major,Journalism: Magazine,SOJC,"M.A., M.S.",
JMS,Undergraduate,Major,Journalism: Media Studies,SOJC,"B.A., B.S.",Active Fall 2013.
JNE,Graduate,Major,Journalism: News-Editorial,SOJC,"M.A., M.S.",
JPN,Undergraduate,Major,Japanese,CAS,B.A.,
JPR,Undergraduate,Major,Journalism: Public Relations,SOJC,"B.A., B.S.",
LA,Undergraduate,Major,Landscape Architecture,DSGN,B.L.A.,
LA,Graduate,Major,Landscape Architecture,DSGN,"Ph.D., M.L.A.",
LAS,Undergraduate,Major,Latin American Studies,CAS,B.A.,
LAW,Graduate,Major,Law,LAW,J.D.,
LING,Undergraduate,Major,Linguistics,CAS,"B.A., B.S.",
LING,Graduate,Major,Linguistics,CAS,"Ph.D., M.A.",
LTS,Graduate,Major,Language Teaching Studies,CAS,M.A.,Active Fall 2017.
MACS,Undergraduate,Major,Mathematics and Computer Science,CAS,"B.A., B.S.",
MARB,Undergraduate,Major,Marine Biology,CAS,"B.A., B.S.",
MATH,Undergraduate,Major,Mathematics,CAS,"B.A., B.S.",
MATH,Graduate,Major,Mathematics,CAS,"Ph.D., M.S.",
MCND,Graduate,Major,Music: Conducting,SOMD,M.Mus.,
MCOM,Undergraduate,Major,Music Composition,SOMD,B.Mus.,
MCOM,Graduate,Major,Music Composition,SOMD,"Ph.D., M.Mus.",
MDST,Graduate,Major,Media Studies,SOJC,"Ph.D., M.A., M.S.",Inactive Fall 2020. Replaced with CMSM and CMSD.
MDVL,Undergraduate,Major,Medieval Studies,CAS,B.A.,
ME,Graduate,Major,Music Education,SOMD,"Ph.D., M.Mus.",
MGMT,Graduate,Major,Management,BUS,"Ph.D., M.A.","M.S. inactive fall 2025, replaced with MNGM."
MJS,Undergraduate,Major,Music: Jazz Studies,SOMD,B.Mus.,
MJS,Graduate,Major,Music: Jazz Studies,SOMD,M.Mus.,
MKTG,Graduate,Major,Marketing,BUS,"Ph.D., M.A., M.S.",
MMJ,Graduate,Major,Multimedia Journalism,SOJC,M.A.,Inactive Fall 2025. Replaced with MMST.
MMST,Graduate,Major,Multimedia Storytelling (F25),SOJC,M.A.,Active Fall 2025.
MNGM,Graduate,Major,Management (F25),BUS,M.S.,Active Fall 2025.
MNM,Graduate,Major,Nonprofit Management,DSGN,M.N.M.,
MPA,Graduate,Major,Public Administration,DSGN,M.P.A.,
MPP,Graduate,Major,Music: Piano Pedagogy,SOMD,M.Mus.,
MPS,Undergraduate,Major,Material and Product Studies,DSGN,"B.A., B.S.",Inactive Fall 2016.
MPTL,Undergraduate,Major,Music: Pre-teacher Licensure,SOMD,B.Mus.,Inactive Fall 2014.
MSCI,Undergraduate,Major,Multidisciplinary Science,CAS,"B.A., B.S.",Active Fall 2021.
MSTC,Undergraduate,Major,Materials Science and Technology (F25),CAS,"B.A., B.S.",Active Fall 2025.
MTHE,Graduate,Major,Music Theory,SOMD,"Ph.D., M.A.",
MUED,Undergraduate,Major,Music Education,SOMD,B.M.M.E.,Active Fall 2014.
MUP,Undergraduate,Major,Music Performance,SOMD,B.Mus.,
MUP,Graduate,Major,Music Performance,SOMD,"D.M.A., M.Mus.",
MUS,Undergraduate,Major,Music,SOMD,"B.A., B.S.",
MUSC,Graduate,Major,Musicology,SOMD,"Ph.D., M.A.",
NAIS,Undergraduate,Major,Native American and Indigenous Studies,CAS,"B.A., B.S.",Active Fall 2022.
NEUR,Undergraduate,Major,Neuroscience,CAS,"B.A., B.S.",Active Fall 2020.
OBAD,Graduate,Major,Operations & Business Analytics,BUS,Ph.D.,Active Fall 2015.
OBAM,Graduate,Major,Operations & Business Analytics,BUS,"M.A., M.S.",Active Fall 2015.
PBA,Undergraduate,Major,Pre-Business,BUS,"Not yet"
PDS,Undergraduate,Major,Product Design,DSGN,"B.A., B.S.",Active Fall 2016. Inactive Fall 2024.
PDSG,Undergraduate,Major,Product Design,DSGN,B.F.A.,
PHIL,Undergraduate,Major,Philosophy,CAS,"B.A., B.S.",
PHIL,Graduate,Major,Philosophy,CAS,"Ph.D., M.A.",
PHKC,Graduate,Major,Applied Physics,KC,M.S.,Active Summer 2018.
PHYS,Undergraduate,Major,Physics,CAS,"B.A., B.S.",
PHYS,Graduate,Major,Physics,CAS,"Ph.D., M.S.",
POPM,Undergraduate,Major,Popular Music,SOMD,"B.A., B.S.",Active Fall 2023.
PPA,Graduate,Major,Planning and Public Affairs,DSGN,Ph.D.,Active Fall 2020.
PPNO,Graduate,Major,Pedagogy: Piano,SOMD,M.Mus.,Active Fall 2024.
PPPM,Undergraduate,Major,"Planning, Public Policy and Management",DSGN,"B.A., B.S.",
PREV,Graduate,Major,Prevention Science,ED,M.S.,Active Fall 2016.
PRVD,Graduate,Major,Prevention Science,ED,Ph.D.,Active Fall 2016.
PRVE,Graduate,Major,Prevention Science,ED,M.Ed.,Active Fall 2016.
PS,Undergraduate,Major,Political Science,CAS,"B.A., B.S.",
PS,Graduate,Major,Political Science,CAS,"Ph.D., M.A., M.S.",
PSY,Undergraduate,Major,Psychology,CAS,"B.A., B.S.",
PSY,Graduate,Major,Psychology,CAS,"Ph.D., M.S.",
PSYO,Graduate,Major,Psychology (online),CAS,M.S.,Active Fall 2020. This program is online.
QRME,Graduate,Major,Quantitative Research Methods in Education,ED,Ph.D.,Active Fall 2018.
R&ES,Undergraduate,Major,"Russian, East European and Eurasian Studies",CAS,B.A.,
R&ES,Graduate,Major,"Russian, East European and Eurasian Studies",CAS,M.A.,
REL,Undergraduate,Major,Religious Studies,CAS,"B.A., B.S.",
REL,Graduate,Major,Religious Studies,GRAD,"M.A., M.S.",See Interdisciplinary Studies: Individualized Program.
RL,Undergraduate,Major,Romance Languages,CAS,B.A.,
RL,Graduate,Major,Romance Languages,CAS,"Ph.D., M.A.",
SCPY,Graduate,Major,School Psychology (F25),ED,Ed.S.,Active Fall 2025.
SDSC,Undergraduate,Major,Spatial Data Science and Technology,CAS,"B.A., B.S.",Active Fall 2017.
SOC,Undergraduate,Major,Sociology,CAS,"B.A., B.S.",
SOC,Graduate,Major,Sociology,CAS,"Ph.D., M.A., M.S.",
SPAN,Undergraduate,Major,Spanish,CAS,B.A.,
SPAN,Graduate,Major,Spanish,CAS,M.A.,
SPD,Graduate,Major,Sports Product Design,DSGN,M.S.,Active Fall 2016.
SPED,Graduate,Major,Special Education,ED,"D.Ed., Ph.D., M.A., M.Ed., M.S.",
SPMG,Graduate,Major,Sports Product Management,BUS,M.S.,Active Fall 2015.
SPMO,Graduate,Major,Sports Product Management,BUS,M.S.,Active Spring 2019. This program is online.
SPND,Graduate,Major,Spanish,CAS,Ph.D.,Active Fall 2022.
SPRH,Graduate,Major,Special Education: Rehabilitation,ED,"D.Ed., Ph.D.",
SPSY,Graduate,Major,School Psychology,ED,Ph.D.,M.S. inactive fall 2025. Replaced with SCPY (Ed.S.).
STC,Graduate,Major,Strategic Communication,SOJC,M.S.,
TA,Undergraduate,Major,Theater Arts,CAS,"B.A., B.S.",
TA,Graduate,Major,Theater Arts,CAS,"Ph.D., M.A., M.F.A.",
WGS,Undergraduate,Major,Women's and Gender Studies,CAS,"B.A., B.S.",Inactive Fall 2017.
WGSS,Undergraduate,Major,"Women's, Gender, and Sexuality Studies",CAS,"B.A., B.S.",Active Fall 2017.
